# wl	flux	err
3.282000000000000000e+03	1.049583630253574334e-15	4.552588506315548780e-17
3.283000000000000000e+03	1.079914632158702074e-15	3.913233631093947930e-17
3.284000000000000000e+03	1.149608398097130482e-15	2.767291126546213096e-17
3.285000000000000000e+03	1.084132097374282732e-15	2.640133523802474633e-17
3.286000000000000000e+03	1.037259607578898997e-15	2.759469762447017803e-17
3.287000000000000000e+03	1.061354180715218784e-15	2.777356933597620735e-17
3.288000000000000000e+03	1.033003543985916324e-15	2.907539921448953356e-17
3.289000000000000000e+03	1.027340424170133876e-15	3.753658047970298999e-17
3.290000000000000000e+03	9.933637071094627302e-16	3.912521972528919677e-17
3.291000000000000000e+03	1.081919002925789467e-15	4.002978481398179971e-17
3.292000000000000000e+03	1.036428946837773115e-15	4.075542765629032362e-17
3.293000000000000000e+03	1.033200183130200933e-15	3.559134879601914998e-17
3.294000000000000000e+03	1.162255367342141559e-15	4.015301479712707796e-17
3.295000000000000000e+03	1.237520277544056294e-15	3.937473607082033122e-17
3.296000000000000000e+03	1.135070806111995071e-15	4.095297511191276834e-17
3.297000000000000000e+03	1.081782712445355904e-15	4.394073970424316721e-17
3.298000000000000000e+03	1.066073533721326622e-15	4.066597247958484780e-17
3.299000000000000000e+03	1.083706700464474807e-15	3.907718766599961770e-17
3.300000000000000000e+03	1.071232051287305311e-15	3.864185182869590813e-17
3.301000000000000000e+03	1.030146055666058046e-15	3.635199722721255155e-17
3.302000000000000000e+03	1.038614266174259246e-15	3.025294134735807494e-17
3.303000000000000000e+03	1.119402730799100426e-15	2.432305748939209301e-17
3.304000000000000000e+03	1.079927682750832525e-15	2.171069861464929796e-17
3.305000000000000000e+03	1.097697342583276845e-15	2.138135081471668330e-17
3.306000000000000000e+03	1.053417711759499113e-15	2.292180241521229039e-17
3.307000000000000000e+03	1.010602580166580821e-15	2.669820273036089793e-17
3.308000000000000000e+03	1.032174504361776566e-15	2.949789294300171769e-17
3.309000000000000000e+03	1.053967591947616013e-15	3.092310919536775585e-17
3.310000000000000000e+03	1.035265722712723383e-15	3.277215182399947206e-17
3.311000000000000000e+03	1.056147335631784402e-15	3.213823255168880510e-17
3.312000000000000000e+03	9.626347901631835207e-16	2.880433948918255849e-17
3.313000000000000000e+03	1.093051645145432998e-15	2.814922755788449555e-17
3.314000000000000000e+03	1.108481934719595708e-15	2.615121290654539398e-17
3.315000000000000000e+03	1.058766963407111549e-15	2.486070132315766489e-17
3.316000000000000000e+03	1.116932532986494588e-15	2.533171035742785056e-17
3.317000000000000000e+03	1.165243566224069675e-15	2.925443256990652155e-17
3.318000000000000000e+03	1.027027629887248780e-15	3.207149682456838553e-17
3.319000000000000000e+03	1.098714537891672625e-15	3.194025848110369257e-17
3.320000000000000000e+03	1.036755780979519592e-15	3.147618284111864618e-17
3.321000000000000000e+03	1.124734816091729414e-15	2.749945360309447940e-17
3.322000000000000000e+03	1.105495527014855211e-15	2.047353320545923778e-17
3.323000000000000000e+03	1.091335546545205470e-15	2.243075101692140242e-17
3.324000000000000000e+03	1.108034665994949169e-15	3.024428365542128899e-17
3.325000000000000000e+03	1.144599740392501835e-15	3.667880069741545197e-17
3.326000000000000000e+03	1.033607958951879188e-15	4.032492738008796082e-17
3.327000000000000000e+03	1.077699914239541001e-15	3.795180909362170909e-17
3.328000000000000000e+03	1.112156939361857548e-15	3.355591575142766099e-17
3.329000000000000000e+03	1.068355969778339163e-15	2.745405936156771153e-17
3.330000000000000000e+03	1.090189477041452280e-15	1.971905724565560257e-17
3.331000000000000000e+03	1.086575510245663136e-15	1.956914931217877417e-17
3.332000000000000000e+03	1.110870666033678486e-15	2.333307064540916916e-17
3.333000000000000000e+03	1.161973312149460408e-15	2.893718861439055418e-17
